,index,latitude,longitude,cluster_predicted
0,0,18.918206796169923,72.82466783514951,1
1,1,18.96328096600007,72.82193869700006,1
2,2,18.97121786300005,72.81615550800007,1
3,3,18.965689033000046,72.82384359100006,1
4,4,18.963369322000066,72.82348913300005,1
5,5,18.96102937556583,72.82614395453689,1
6,6,18.97920903427471,72.82740639624978,1
7,7,18.965529888002422,72.82531287437564,1
8,8,18.969712641651057,72.84194449407566,1
9,9,18.96280629630638,72.8318085019407,1
10,10,19.00588495770202,72.85492723138128,1
11,11,19.005503355502398,72.85497499323805,1
12,12,19.017987179000045,72.81980024300003,1
13,13,19.005198476000032,72.82053658800005,1
14,14,19.00195741300007,72.81694836500003,1
15,15,19.00170974800005,72.81849399200007,1
16,16,19.018673800000048,72.81916850800008,1
17,17,19.001004932000054,72.81754334100003,1
18,18,19.018357159000058,72.81840243300006,1
19,19,19.017961991000053,72.81869763300006,1
20,20,19.01787524200006,72.81815676500008,1
21,21,19.01939522200007,72.81872934700004,1
22,22,19.01952039100007,72.81786931500005,1
23,23,19.01901215700008,72.81788612000008,1
24,24,19.0097346,72.8255543,1
25,25,19.02163552269838,72.81812809953695,1
26,26,19.0185886,72.81882490000001,1
27,27,19.017470463954442,72.8202652293119,1
28,28,19.01751015045863,72.82032885506361,1
29,29,19.01751015045863,72.82032885506361,1
30,30,19.01728557984215,72.82028873932421,1
31,31,19.01848536837272,72.81933247601101,1
32,32,18.99259722335193,72.81860268592595,1
33,33,18.992755725246422,72.81922314393609,1
34,34,18.99259722335193,72.81860268592595,1
35,35,18.99230948632588,72.81832995692092,1
36,36,18.992883642534288,72.81993259850988,1
37,37,19.02170972486743,72.81807286522105,1
38,38,19.02170022182498,72.81808054625674,1
39,39,19.014363889000037,72.82412777800005,1
40,40,18.99245833300006,72.81870000000005,1
41,41,19.02296329441896,72.8707374045943,1
42,42,19.028044519278943,72.87339361227305,1
43,43,19.0276777,72.87024559999998,1
44,44,19.02245524219123,72.87035876203905,1
45,45,19.01594201636252,72.86459743933851,1
46,46,19.041691972000024,72.85052482000003,1
47,47,19.047690380000066,72.85787174600006,1
48,48,19.03926740300005,72.85491353500005,1
49,49,19.04372482200006,72.85004247900008,1
50,50,19.0414773,72.84845370000001,1
51,51,19.07161731800005,72.91683116200005,1
52,52,19.095314477000045,72.89974726700007,0
53,53,19.095790587000067,72.90520535100006,0
54,54,19.096917292000054,72.90261551100008,0
55,55,19.095472555000068,72.90107516000006,0
56,56,19.097618392000076,72.90351675400007,0
57,57,19.104374972000073,72.91610807900008,0
58,58,19.095527121000032,72.90004929700007,0
59,59,19.095919700000024,72.90551690000007,0
60,60,19.099685300000036,72.90289370000005,0
61,61,19.093636238000048,72.90381498400006,0
62,62,19.09933250000006,72.90286780000008,0
63,63,19.10205000000008,72.90877440000007,0
64,64,19.07452552800004,72.91376147700005,1
65,65,19.09927369900004,72.91670991800005,0
66,66,19.072405400000036,72.91409200000005,1
67,67,19.090333709000053,72.89895949700008,0
68,68,19.162790067000056,72.93112210400004,0
69,69,19.12836161100006,72.93512059200003,0
70,70,19.124300408000067,72.91806422900004,0
71,71,19.115775391000053,72.93326254600005,0
72,72,19.13608530600004,72.93850292400003,0
73,73,19.160508221000047,72.92951270200007,0
74,74,19.16344982000004,72.93592354700006,0
